"conceptURI","code_xml","code_ted","op_code"
"http://publications.europa.eu/resource/authority/language/AIE","aie",,"AIE"
"http://publications.europa.eu/resource/authority/language/AIF","aif",,"AIF"
"http://publications.europa.eu/resource/authority/language/AIG","aig",,"AIG"
"http://publications.europa.eu/resource/authority/language/AIH","aih",,"AIH"
"http://publications.europa.eu/resource/authority/language/AII","aii",,"AII"
"http://publications.europa.eu/resource/authority/language/AIJ","aij",,"AIJ"
"http://publications.europa.eu/resource/authority/language/AIK","aik",,"AIK"
"http://publications.europa.eu/resource/authority/language/AIL","ail",,"AIL"
"http://publications.europa.eu/resource/authority/language/AIM","aim",,"AIM"
"http://publications.europa.eu/resource/authority/language/AIN","ain",,"AIN"
"http://publications.europa.eu/resource/authority/language/AIO","aio",,"AIO"
"http://publications.europa.eu/resource/authority/language/AIP","aip",,"AIP"
"http://publications.europa.eu/resource/authority/language/AIQ","aiq",,"AIQ"
"http://publications.europa.eu/resource/authority/language/AIR","air",,"AIR"
"http://publications.europa.eu/resource/authority/language/AIS","ais",,"AIS"
"http://publications.europa.eu/resource/authority/language/AIT","ait",,"AIT"
"http://publications.europa.eu/resource/authority/language/AIW","aiw",,"AIW"
"http://publications.europa.eu/resource/authority/language/AIX","aix",,"AIX"
"http://publications.europa.eu/resource/authority/language/AIY","aiy",,"AIY"
"http://publications.europa.eu/resource/authority/language/AJA","aja",,"AJA"
"http://publications.europa.eu/resource/authority/language/AJG","ajg",,"AJG"
"http://publications.europa.eu/resource/authority/language/AJI","aji",,"AJI"
"http://publications.europa.eu/resource/authority/language/AJP","ajp",,"AJP"
"http://publications.europa.eu/resource/authority/language/AJT","ajt",,"AJT"
"http://publications.europa.eu/resource/authority/language/AJU","aju",,"AJU"
"http://publications.europa.eu/resource/authority/language/AJW","ajw",,"AJW"
"http://publications.europa.eu/resource/authority/language/AJZ","ajz",,"AJZ"
"http://publications.europa.eu/resource/authority/language/AKA","ak",,"AKA"
"http://publications.europa.eu/resource/authority/language/AKB","akb",,"AKB"
"http://publications.europa.eu/resource/authority/language/AKC","akc",,"AKC"
"http://publications.europa.eu/resource/authority/language/AKD","akd",,"AKD"
"http://publications.europa.eu/resource/authority/language/AKE","ake",,"AKE"
"http://publications.europa.eu/resource/authority/language/AKF","akf",,"AKF"
"http://publications.europa.eu/resource/authority/language/AKG","akg",,"AKG"
"http://publications.europa.eu/resource/authority/language/AKH","akh",,"AKH"
"http://publications.europa.eu/resource/authority/language/AKI","aki",,"AKI"
"http://publications.europa.eu/resource/authority/language/AKJ","akj",,"AKJ"
"http://publications.europa.eu/resource/authority/language/AKK","akk",,"AKK"
"http://publications.europa.eu/resource/authority/language/AKL","akl",,"AKL"
"http://publications.europa.eu/resource/authority/language/AKM","akm",,"AKM"
"http://publications.europa.eu/resource/authority/language/AKO","ako",,"AKO"
"http://publications.europa.eu/resource/authority/language/AKP","akp",,"AKP"
"http://publications.europa.eu/resource/authority/language/AKQ","akq",,"AKQ"
"http://publications.europa.eu/resource/authority/language/AKR","akr",,"AKR"
"http://publications.europa.eu/resource/authority/language/AKS","aks",,"AKS"
"http://publications.europa.eu/resource/authority/language/AKT","akt",,"AKT"
"http://publications.europa.eu/resource/authority/language/AKU","aku",,"AKU"
"http://publications.europa.eu/resource/authority/language/AKV","akv",,"AKV"
"http://publications.europa.eu/resource/authority/language/AKW","akw",,"AKW"
"http://publications.europa.eu/resource/authority/language/AKX","akx",,"AKX"
"http://publications.europa.eu/resource/authority/language/AKY","aky",,"AKY"
"http://publications.europa.eu/resource/authority/language/AKZ","akz",,"AKZ"
"http://publications.europa.eu/resource/authority/language/ALA","ala",,"ALA"
"http://publications.europa.eu/resource/authority/language/ALC","alc",,"ALC"
"http://publications.europa.eu/resource/authority/language/ALD","ald",,"ALD"
"http://publications.europa.eu/resource/authority/language/ALE","ale",,"ALE"
"http://publications.europa.eu/resource/authority/language/ALF","alf",,"ALF"
"http://publications.europa.eu/resource/authority/language/ALG","alg",,"ALG"
"http://publications.europa.eu/resource/authority/language/ALH","alh",,"ALH"
"http://publications.europa.eu/resource/authority/language/ALI","ali",,"ALI"
"http://publications.europa.eu/resource/authority/language/ALJ","alj",,"ALJ"
"http://publications.europa.eu/resource/authority/language/ALK","alk",,"ALK"
"http://publications.europa.eu/resource/authority/language/ALL","all",,"ALL"
"http://publications.europa.eu/resource/authority/language/ALM","alm",,"ALM"
"http://publications.europa.eu/resource/authority/language/ALN","aln",,"ALN"
"http://publications.europa.eu/resource/authority/language/ALO","alo",,"ALO"
"http://publications.europa.eu/resource/authority/language/ALP","alp",,"ALP"
"http://publications.europa.eu/resource/authority/language/ALQ","alq",,"ALQ"
"http://publications.europa.eu/resource/authority/language/ALR","alr",,"ALR"
"http://publications.europa.eu/resource/authority/language/ALS","als",,"ALS"
"http://publications.europa.eu/resource/authority/language/ALT","alt",,"ALT"
"http://publications.europa.eu/resource/authority/language/ALU","alu",,"ALU"
"http://publications.europa.eu/resource/authority/language/ALW","alw",,"ALW"
"http://publications.europa.eu/resource/authority/language/ALX","alx",,"ALX"
"http://publications.europa.eu/resource/authority/language/ALY","aly",,"ALY"
"http://publications.europa.eu/resource/authority/language/ALZ","alz",,"ALZ"
"http://publications.europa.eu/resource/authority/language/AMA","ama",,"AMA"
"http://publications.europa.eu/resource/authority/language/AMB","amb",,"AMB"
"http://publications.europa.eu/resource/authority/language/AMC","amc",,"AMC"
"http://publications.europa.eu/resource/authority/language/AME","ame",,"AME"
"http://publications.europa.eu/resource/authority/language/AMF","amf",,"AMF"
"http://publications.europa.eu/resource/authority/language/AMG","amg",,"AMG"
"http://publications.europa.eu/resource/authority/language/AMH","am",,"AMH"
"http://publications.europa.eu/resource/authority/language/AMI","ami",,"AMI"
"http://publications.europa.eu/resource/authority/language/AMJ","amj",,"AMJ"
"http://publications.europa.eu/resource/authority/language/AMK","amk",,"AMK"
"http://publications.europa.eu/resource/authority/language/AML","aml",,"AML"
"http://publications.europa.eu/resource/authority/language/AMM","amm",,"AMM"
"http://publications.europa.eu/resource/authority/language/AMN","amn",,"AMN"
"http://publications.europa.eu/resource/authority/language/AMO","amo",,"AMO"
"http://publications.europa.eu/resource/authority/language/AMP","amp",,"AMP"
"http://publications.europa.eu/resource/authority/language/AMQ","amq",,"AMQ"
"http://publications.europa.eu/resource/authority/language/AMR","amr",,"AMR"
"http://publications.europa.eu/resource/authority/language/AMS","ams",,"AMS"
"http://publications.europa.eu/resource/authority/language/AMT","amt",,"AMT"
"http://publications.europa.eu/resource/authority/language/AMU","amu",,"AMU"
"http://publications.europa.eu/resource/authority/language/AMV","amv",,"AMV"
"http://publications.europa.eu/resource/authority/language/AMW","amw",,"AMW"
"http://publications.europa.eu/resource/authority/language/AMX","amx",,"AMX"
"http://publications.europa.eu/resource/authority/language/AMY","amy",,"AMY"
"http://publications.europa.eu/resource/authority/language/AMZ","amz",,"AMZ"
"http://publications.europa.eu/resource/authority/language/ANA","ana",,"ANA"
"http://publications.europa.eu/resource/authority/language/ANB","anb",,"ANB"
"http://publications.europa.eu/resource/authority/language/ANC","anc",,"ANC"
"http://publications.europa.eu/resource/authority/language/AND","and",,"AND"
"http://publications.europa.eu/resource/authority/language/ANE","ane",,"ANE"
"http://publications.europa.eu/resource/authority/language/ANF","anf",,"ANF"
"http://publications.europa.eu/resource/authority/language/ANG","ang",,"ANG"
"http://publications.europa.eu/resource/authority/language/ANH","anh",,"ANH"
"http://publications.europa.eu/resource/authority/language/ANI","ani",,"ANI"
"http://publications.europa.eu/resource/authority/language/ANJ","anj",,"ANJ"
"http://publications.europa.eu/resource/authority/language/ANK","ank",,"ANK"
"http://publications.europa.eu/resource/authority/language/ANL","anl",,"ANL"
"http://publications.europa.eu/resource/authority/language/ANM","anm",,"ANM"
"http://publications.europa.eu/resource/authority/language/ANN","ann",,"ANN"
"http://publications.europa.eu/resource/authority/language/ANO","ano",,"ANO"
"http://publications.europa.eu/resource/authority/language/ANP","anp",,"ANP"
"http://publications.europa.eu/resource/authority/language/ANQ","anq",,"ANQ"
"http://publications.europa.eu/resource/authority/language/ANR","anr",,"ANR"
"http://publications.europa.eu/resource/authority/language/ANS","ans",,"ANS"
"http://publications.europa.eu/resource/authority/language/ANT","ant",,"ANT"
"http://publications.europa.eu/resource/authority/language/ANU","anu",,"ANU"
"http://publications.europa.eu/resource/authority/language/ANV","anv",,"ANV"
"http://publications.europa.eu/resource/authority/language/ANW","anw",,"ANW"
"http://publications.europa.eu/resource/authority/language/ANX","anx",,"ANX"
"http://publications.europa.eu/resource/authority/language/ANY","any",,"ANY"
"http://publications.europa.eu/resource/authority/language/ANZ","anz",,"ANZ"
"http://publications.europa.eu/resource/authority/language/AOA","aoa",,"AOA"
"http://publications.europa.eu/resource/authority/language/AOB","aob",,"AOB"
"http://publications.europa.eu/resource/authority/language/AOC","aoc",,"AOC"
"http://publications.europa.eu/resource/authority/language/AOD","aod",,"AOD"
"http://publications.europa.eu/resource/authority/language/AOE","aoe",,"AOE"
"http://publications.europa.eu/resource/authority/language/AOF","aof",,"AOF"
"http://publications.europa.eu/resource/authority/language/AOG","aog",,"AOG"
"http://publications.europa.eu/resource/authority/language/AOH","aoh",,"AOH"
"http://publications.europa.eu/resource/authority/language/AOI","aoi",,"AOI"
"http://publications.europa.eu/resource/authority/language/AOJ","aoj",,"AOJ"
"http://publications.europa.eu/resource/authority/language/AOK","aok",,"AOK"
"http://publications.europa.eu/resource/authority/language/AOL","aol",,"AOL"
"http://publications.europa.eu/resource/authority/language/AOM","aom",,"AOM"
"http://publications.europa.eu/resource/authority/language/AON","aon",,"AON"
"http://publications.europa.eu/resource/authority/language/AOR","aor",,"AOR"
"http://publications.europa.eu/resource/authority/language/AOS","aos",,"AOS"
"http://publications.europa.eu/resource/authority/language/AOT","aot",,"AOT"
"http://publications.europa.eu/resource/authority/language/AOX","aox",,"AOX"
"http://publications.europa.eu/resource/authority/language/AOZ","aoz",,"AOZ"
"http://publications.europa.eu/resource/authority/language/APA","apa",,"APA"
"http://publications.europa.eu/resource/authority/language/APB","apb",,"APB"
"http://publications.europa.eu/resource/authority/language/APC","apc",,"APC"
"http://publications.europa.eu/resource/authority/language/APD","apd",,"APD"
